estimated_nights_booked,price,minimum_nights,calculated_host_listings_count,estimated_nights_booked_binary,room_type_Hotel room,room_type_Private room,room_type_Shared room,latitude,longitude
41.76,340.0,2,1,0,0.0,0.0,0.0,,
35.52,69.0,2,5,0,0.0,1.0,0.0,,
18.48,320.0,7,5,0,0.0,0.0,0.0,,
6.48,25.0,3,2,0,0.0,1.0,0.0,,
61.2,89.0,3,1,1,0.0,0.0,0.0,,
3.36,145.0,14,1,0,0.0,0.0,0.0,,
95.76,96.0,21,3,1,0.0,0.0,0.0,,
25.2,197.0,3,1,0,0.0,0.0,0.0,,
57.6,44.0,60,1,1,0.0,1.0,0.0,,
114.24,206.0,2,2,1,0.0,0.0,0.0,,
53.76,45.0,7,4,1,0.0,1.0,0.0,,
111.36,37.0,2,9,1,0.0,1.0,0.0,,
102.0,162.0,5,1,1,0.0,0.0,0.0,,
31.92,49.0,1,1,0,0.0,1.0,0.0,,
22.8,94.0,1,1,0,0.0,1.0,0.0,,
86.39999999999999,55.0,15,1,1,0.0,1.0,0.0,,
42.24,95.0,2,1,0,0.0,0.0,0.0,,
43.68,180.0,7,1,0,0.0,0.0,0.0,,
90.24,190.0,2,1,1,0.0,0.0,0.0,,
72.96000000000001,64.0,1,1,1,0.0,1.0,0.0,,
60.0,108.0,5,9,1,0.0,0.0,0.0,,
20.16,400.0,7,1,0,0.0,0.0,0.0,,
67.20000000000002,45.0,14,2,1,0.0,1.0,0.0,,
131.52,165.0,4,1,1,0.0,0.0,0.0,,
190.08,35.0,3,1,1,0.0,1.0,0.0,,
6.48,46.0,3,1,0,0.0,1.0,0.0,,
88.79999999999998,275.0,5,2,1,0.0,0.0,0.0,,
23.520000000000003,945.0,7,349,0,0.0,0.0,0.0,,
29.52,140.0,3,1,0,0.0,0.0,0.0,,
43.68,79.0,2,6,0,0.0,1.0,0.0,,
22.8,64.0,1,2,0,0.0,1.0,0.0,,
39.36,105.0,2,1,0,0.0,0.0,0.0,,
45.12,30.0,1,3,0,0.0,1.0,0.0,,
21.6,50.0,5,1,0,0.0,0.0,0.0,,
12.000000000000002,100.0,5,1,0,0.0,0.0,0.0,,
55.2,220.0,5,1,1,0.0,0.0,0.0,,
68.64,48.0,1,4,1,0.0,1.0,0.0,,
13.68,42.0,1,4,0,0.0,1.0,0.0,,
87.12,50.0,3,2,1,0.0,1.0,0.0,,
46.08,232.0,3,2,0,0.0,0.0,0.0,,
