id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,estimated_nights_booked
11113935,Rental unit in London · ★4.86 · 2 bedrooms · 2 beds · 2 baths,13770205,Stephen,,Tower Hamlets,51.51524,-0.05717,Entire home/apt,250.0,30,128,2023-07-18,1.37,36,335,3,,986
12121625,Home in Dagenham · ★4.50 · 1 bedroom · 1 bed · 1 shared bath,49360489,Mike,,Barking and Dagenham,51.54111,0.13827,Private room,35.0,30,32,2022-10-10,0.35,2,69,0,,251
11407273,Rental unit in London · ★4.88 · 1 bedroom · 1 bed · 1 private bath,1940288,Emma,,Camden,51.54607,-0.16429,Private room,103.0,3,217,2023-12-10,2.3,1,237,39,,165
12543830,Rental unit in London · ★4.58 · 2 bedrooms · 1 bed · 1 shared bath,66507323,Steve,,Greenwich,51.49743,0.0805,Private room,18.0,200,12,2018-10-07,0.15,2,180,0,,719
11876615,Serviced apartment in London · ★4.46 · 1 bedroom · 1 bed · 1 bath,17911918,James,,City of London,51.510521,-0.083102,Entire home/apt,222.0,7,78,2023-10-09,0.91,15,304,16,,152
12635576,Rental unit in London · ★4.55 · 1 bedroom · 1 bed · 1 private bath,62274671,Nash,,Wandsworth,51.46967,-0.17916,Private room,85.0,5,95,2020-03-31,1.03,1,318,0,,123
12819909,Home in London · ★4.95 · 1 bedroom · 1 bed · 1.5 shared baths,41742910,Christopher,,Haringey,51.589551,-0.123887,Private room,59.0,3,147,2023-11-26,1.67,3,147,40,,120
12829521,Rental unit in London · ★4.96 · 1 bedroom · 1 bed · 1.5 shared baths,18195437,Tim,,Southwark,51.46527,-0.08857,Private room,45.0,3,135,2023-11-19,1.46,1,132,7,,105
11955427,Rental unit in London · ★4.76 · 1 bedroom · 2 beds · 1 bath,949926,Tobias & Annette,,Hammersmith and Fulham,51.49573,-0.22825,Entire home/apt,135.0,21,51,2023-01-29,0.63,26,135,1,,317
12024411,Condo in London · ★4.65 · 3 bedrooms · 4 beds · 1.5 baths,63917819,Marco,,Southwark,51.49562,-0.10418,Entire home/apt,460.0,3,122,2023-06-06,1.31,4,265,3,,94
